Tanggal,Toko,penjualanDebit,penjualanKredit,uangMasukDebit,uangMasukKredit,[CREDIT] UNMAPPED_1000.02.05,[CREDIT] UNMAPPED_2002.08,[CREDIT] UNMAPPED_4000.100,[CREDIT] UNMAPPED_6000.01.13,[CREDIT] admin_bank,[CREDIT] admin_merchant,[CREDIT] balancing_misc,[CREDIT] balancing_rounding,[CREDIT] discount,[CREDIT] payment_cash,[CREDIT] payment_credit_bca,[CREDIT] payment_gobiz,[CREDIT] payment_transfer,[CREDIT] sales_bar,[CREDIT] sales_beans,[CREDIT] sales_bundling,[CREDIT] sales_inventory,[CREDIT] sales_konsinyasi,[CREDIT] service_charge,[CREDIT] tax,[DEBIT] UNMAPPED_1000.02.03,[DEBIT] UNMAPPED_1000.02.05,[DEBIT] UNMAPPED_1102.01,[DEBIT] UNMAPPED_1109.02.01,[DEBIT] UNMAPPED_4000.91,[DEBIT] admin_bank,[DEBIT] admin_merchant,[DEBIT] balancing_misc,[DEBIT] balancing_rounding,[DEBIT] discount,[DEBIT] payment_academy_100_vouc,[DEBIT] payment_academy_50_vouch,[DEBIT] payment_cash,[DEBIT] payment_cl_upperwest,[DEBIT] payment_credit_bca,[DEBIT] payment_go_dine_in_vou,[DEBIT] payment_gobiz,[DEBIT] payment_ovo,[DEBIT] payment_strada_gift_vou,[DEBIT] payment_strada_reward,[DEBIT] payment_transfer,[DEBIT] payment_voucher_ckt_50_0,[DEBIT] payment_voucher_florist,[DEBIT] payment_voucher_harris_p,[DEBIT] payment_voucher_justyoga,[DEBIT] payment_voucher_padel_sp,[DEBIT] payment_voucher_timezone,[DEBIT] payment_voucher_workshop,[DEBIT] payment_workshop_sms_voucher,[DEBIT] sales_bar,[DEBIT] sales_beans
2026-04-03,MKG,2587200,2587200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2240000,0,0,0,0,112000,235200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2587200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-02,SMS,446985,446985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387000,0,0,0,0,19350,40635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-02,MKG,148995,148995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000,0,0,0,0,6450,13545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-01,SMS,483945,483945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419000,0,0,0,0,20950,43995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-01,MKG,448140,448140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388000,0,0,0,0,19400,40740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31,SMS,311850,311850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270000,0,0,0,0,13500,28350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-31,MKG,386015,386015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353000,0,0,0,0,10650,22365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-30,SMS,170940,170940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148000,0,0,0,0,7400,15540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-30,MKG,366135,366135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317000,0,0,0,0,15850,33285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-29,SMS,664635,664635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581400,0,0,0,0,26850,56385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-29,MKG,2814840,2814840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2578000,0,0,0,0,76400,160440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-28,SMS,1292445,1292445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119000,0,0,0,0,55950,117495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-28,MKG,1277265,1277265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128000,0,0,0,0,48150,101115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-27,SMS,332640,332640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288000,0,0,0,0,14400,30240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-27,MKG,1138195,1138195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019000,0,0,0,0,38450,80745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057345,0,0,0,0,80850,0,0,0,0,0,0,0,0,0,0,0
2026-03-26,SMS,551060,551060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512000,0,0,0,0,12600,26460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-26,MKG,247170,247170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214000,0,0,0,0,10700,22470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-25,SMS,919625,919625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815000,0,0,0,0,33750,70875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-25,MKG,881265,881265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763000,0,0,0,0,38150,80115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-24,SMS,702240,702240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608000,0,0,0,0,30400,63840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-24,MKG,1243695,1243695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109000,0,0,0,0,43450,91245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-23,SMS,1048530,1048530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936000,0,0,0,0,36300,76230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-23,MKG,1266445,1266445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124000,0,0,0,0,45950,96495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22,SMS,1353905,1353905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191000,0,0,0,0,52550,110355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-22,MKG,2486785,2486785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247000,0,0,0,0,77350,162435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-21,SMS,858165,858165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743000,0,0,0,0,37150,78015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-21,MKG,1617000,1617000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000,0,0,0,0,70000,147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-20,SMS,1763170,1763170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544000,0,0,0,0,70700,148470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-20,MKG,1645875,1645875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425000,0,0,0,0,71250,149625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-19,SMS,1219545,1219545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067800,0,0,0,0,48950,102795,0,0,88800,0,0,0,0,0,0,0,0,0,0,0,1130745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-19,SMB GOLD LOUNGE,0,0,1271975,1271975,0,0,0,0,0,0,165165,0,0,0,1106810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8306.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263668.32,0,0,0,0,0,0,0,0,0,0
2026-03-19,MKG,2243650,2243650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960000,0,0,0,0,91500,192150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
