Nomor #,Tanggal Transaksi Keterangan,Tanggal Transaksi Jurnal,Store,Jenis Jurnal,Nilai,Keterangan
JV.2025.01.00064,1-Jan-2025,1-Jan-2025,MKG,Penjualan cafe,"2,595,690.00",Penjualan cafe strada MKG tanggal 01/01/2025
JV.2025.01.00065,1-Jan-2025,2-Jan-2025,MKG,Uang masuk,"2,595,690.00",Uang masuk penjualan cafe strada MKG tanggal 01/01/2025
JV.2025.01.00011,1-Jan-2025,1-Jan-2025,La Piazza,Penjualan cafe,"25,827,445.00",Penjualan cafe tanggal 01/01/2025
JV.2025.01.00081,2-Jan-2025,2-Jan-2025,MKG,Penjualan cafe,"705,822.00",Penjualan cafe strada MKG tanggal 02/01/2025
JV.2025.01.00082,2-Jan-2025,3-Jan-2025,MKG,Uang masuk,"705,822.00",Uang masuk penjualan cafe strada MKG tanggal 02/01/2025
JV.2025.01.00013,2-Jan-2025,2-Jan-2025,La Piazza,Penjualan cafe,"19,984,625.00",Penjualan cafe tanggal 02/01/2025
JV.2025.01.00037,2-Jan-2025,3-Jan-2025,La Piazza,Uang masuk,"18,552,775.00",Uang masuk penjualan cafe tanggal 02/01/2025
JV.2025.01.00083,3-Jan-2025,3-Jan-2025,MKG,Penjualan cafe,"1,636,727.00",Penjualan cafe strada MKG tanggal 03/01/2025
JV.2025.01.00084,3-Jan-2025,4-Jan-2025,MKG,Uang masuk,"1,631,027.00",Uang masuk penjualan cafe strada MKG tanggal 03/01/2025
JV.2025.01.00089,3-Jan-2025,3-Jan-2025,La Piazza,Penjualan cafe,"22,126,630.00",Penjualan cafe tanggal 03/01/2025
JV.2025.01.00090,3-Jan-2025,4-Jan-2025,La Piazza,Uang masuk,"10,831,675.00",Uang masuk penjualan cafe tanggal 03/01/2025
JV.2025.01.00085,4-Jan-2025,4-Jan-2025,MKG,Penjualan cafe,"1,745,205.00",Penjualan cafe strada MKG tanggal 04/01/2025
JV.2025.01.00086,4-Jan-2025,5-Jan-2025,MKG,Uang masuk,"1,745,205.00",Uang masuk penjualan cafe strada MKG tanggal 04/01/2025
JV.2025.01.00091,4-Jan-2025,4-Jan-2025,La Piazza,Penjualan cafe,"33,223,370.00",Penjualan cafe tanggal 04/01/2025
JV.2025.01.00092,4-Jan-2025,5-Jan-2025,La Piazza,Uang masuk,"43,916,395.00",Uang masuk penjualan cafe tanggal  03 & 04 Januari 2025
JV.2025.01.00087,5-Jan-2025,5-Jan-2025,MKG,Penjualan cafe,"1,688,805.00",Penjualan cafe strada MKG tanggal 05/01/2025
JV.2025.01.00088,5-Jan-2025,6-Jan-2025,MKG,Uang masuk,"1,688,805.00",Uang masuk penjualan cafe strada MKG tanggal 05/01/2025
JV.2025.01.00093,5-Jan-2025,5-Jan-2025,La Piazza,Penjualan cafe,"17,102,680.00",Penjualan cafe tanggal 05/01/2025
JV.2025.01.00094,5-Jan-2025,6-Jan-2025,La Piazza,Uang masuk,"16,873,630.00",Uang masuk penjualan cafe tanggal 05/01/2025
JV.2025.01.00184,6-Jan-2025,6-Jan-2025,MKG,Penjualan cafe,"565,040.00",Penjualan cafe strada MKG tanggal 06/01/2025
JV.2025.01.00185,6-Jan-2025,7-Jan-2025,MKG,Uang masuk,"565,040.00",Uang masuk penjualan cafe strada MKG tanggal 06/01/2025
JV.2025.01.00119,6-Jan-2025,6-Jan-2025,La Piazza,Penjualan cafe,"10,882,160.00",Penjualan cafe tanggal 06/01/2025
JV.2025.01.00120,6-Jan-2025,7-Jan-2025,La Piazza,Uang masuk,"10,633,085.00",Uang masuk penjualan cafe tanggal 06/01/2025
JV.2025.01.00172,7-Jan-2025,7-Jan-2025,MKG,Penjualan cafe,"494,340.00",Penjualan cafe strada MKG tanggal 07/01/2025
JV.2025.01.00178,7-Jan-2025,8-Jan-2025,MKG,Uang masuk,"494,340.00",Uang masuk penjualan cafe strada MKG tanggal 07/01/2025
JV.2025.01.00121,7-Jan-2025,7-Jan-2025,La Piazza,Penjualan cafe,"10,793,100.00",Penjualan cafe tanggal 07/01/2025
JV.2025.01.00122,7-Jan-2025,8-Jan-2025,La Piazza,Uang masuk,"10,562,500.00",Uang masuk penjualan cafe tanggal 07/01/2025
JV.2025.01.00173,8-Jan-2025,8-Jan-2025,MKG,Penjualan cafe,"713,475.00",Penjualan cafe strada MKG tanggal 08/01/2025
JV.2025.01.00179,8-Jan-2025,9-Jan-2025,MKG,Uang masuk,"713,475.00",Uang masuk penjualancafe strada MKG tanggal 08/01/2025
JV.2025.01.00123,8-Jan-2025,8-Jan-2025,La Piazza,Penjualan cafe,"17,143,835.00",Penjualan cafe 08/01/2025
JV.2025.01.00124,8-Jan-2025,9-Jan-2025,La Piazza,Uang masuk,"16,705,990.00",Uang masuk penjualan cafe tanggal 08/01/2025
JV.2025.01.00174,9-Jan-2025,9-Jan-2025,MKG,Penjualan cafe,"681,195.00",Penjualan cafe strada MKG tanggal 09/01/2025
JV.2025.01.00180,9-Jan-2025,10-Jan-2025,MKG,Uang masuk,"681,195.00",Uang masuk penjualan cafe strada MKG tanggal 09/01/2025
JV.2025.01.00274,9-Jan-2025,9-Jan-2025,La Piazza,Penjualan cafe,"18,391,880.00",Penjualan cafe tanggal 09/01/2025
JV.2025.01.00288,9-Jan-2025,10-Jan-2025,La Piazza,Uang masuk,"18,290,480.00",Uang masuk penjualan cafe tanggal 09/01/2025
JV.2025.01.00175,10-Jan-2025,10-Jan-2025,MKG,Penjualan cafe,"1,277,430.00",Penjualan cafe strada MKG tanggal 10/01/2025
JV.2025.01.00181,10-Jan-2025,11-Jan-2025,MKG,Uang masuk,"1,277,430.00",Uang masuk penjualan cafe strada MKG tanggal 10/01/2025
JV.2025.01.00282,10-Jan-2025,10-Jan-2025,La Piazza,Penjualan cafe,"20,899,145.00",Penjualan cafe tanggal 10/01/2025
JV.2025.01.00287,10-Jan-2025,11-Jan-2025,La Piazza,Uang masuk,"20,692,145.00",Uang masuk penjualan cafe tanggal 10/01/2025
JV.2025.01.00176,11-Jan-2025,11-Jan-2025,MKG,Penjualan cafe,"2,840,110.00",Penjualan cafe strada MKG tanggal 11/01/2025
JV.2025.01.00182,11-Jan-2025,12-Jan-2025,MKG,Uang masuk,"2,840,110.00",Uang masuk penjualan cafe strada MKG tanggal 11/01/2025
JV.2025.01.00284,11-Jan-2025,11-Jan-2025,La Piazza,Penjualan cafe,"28,398,555.00",Penjualan cafe tanggal 11/01/2025
JV.2025.01.00289,11-Jan-2025,12-Jan-2025,La Piazza,Uang masuk,"27,902,310.00",Uang masuk penjualan cafe tanggal 11/01/2025
JV.2025.01.00177,12-Jan-2025,12-Jan-2025,MKG,Penjualan cafe,"1,542,120.00",Penjualan cafe strada MKG tanggal 12/01/2025
JV.2025.01.00183,12-Jan-2025,13-Jan-2025,MKG,Uang masuk,"1,542,120.00",Uang masuk penjualan cafe strada MKG tanggal 12/01/2025
JV.2025.01.00285,12-Jan-2025,12-Jan-2025,La Piazza,Penjualan cafe,"27,723,985.00",Penjualan cafe tanggal 12/01/2025
JV.2025.01.00290,12-Jan-2025,13-Jan-2025,La Piazza,Uang masuk,"27,223,485.00",Uang masuk penjualan cafe tanggal 12/01/2025
JV.2025.01.00352,13-Jan-2025,13-Jan-2025,MKG,Penjualan cafe,"1,047,585.00",Penjualan cafe strada MKG tanggal 13/01/2025
JV.2025.01.00353,13-Jan-2025,14-Jan-2025,MKG,Uang masuk,"434,280.00",Uang masuk penjualan cafe strada MKG tanggal 13/01/2025
JV.2025.01.00355,13-Jan-2025,15-Jan-2025,MKG,Uang masuk,"720,720.00",Uang masuk penjualan cafe strada MKG tanggal 13/01/2025 - 14/01/2025
JV.2025.01.00286,13-Jan-2025,13-Jan-2025,La Piazza,Penjualan cafe,"12,825,420.00",Penjualan cafe tanggal 13/01/2025
JV.2025.01.00291,13-Jan-2025,14-Jan-2025,La Piazza,Uang masuk,"12,685,695.00",Uang masuk penjualan cafe tanggal 13/01/2025
JV.2025.01.00354,14-Jan-2025,14-Jan-2025,MKG,Penjualan cafe,"107,415.00",Penjualan cafe strada MKG tanggal 14/01/2025
JV.2025.01.00342,14-Jan-2025,14-Jan-2025,La Piazza,Penjualan cafe,"10,545,370.00",Penjualan cafe tanggal 14/01/2025
JV.2025.01.00344,14-Jan-2025,15-Jan-2025,La Piazza,Uang masuk,"10,353,970.00",Uang masuk penjualan cafe taggal 14/01/2025
JV.2025.01.00356,15-Jan-2025,15-Jan-2025,MKG,Penjualan cafe,"1,266,540.00",Penjualan cafe strada MKG tanggal 15/01/2025
JV.2025.01.00357,15-Jan-2025,16-Jan-2025,MKG,Uang masuk,"1,266,540.00",Uang masuk penjualan cafe strada MKG tanggal 15/01/2025
JV.2025.01.00345,15-Jan-2025,15-Jan-2025,La Piazza,Penjualan cafe,"13,584,330.00",Penjualan cafe tanggal 15/01/2025
JV.2025.01.00346,15-Jan-2025,16-Jan-2025,La Piazza,Uang masuk,"13,487,880.00",Uang masuk penjualan cafe tanggal 15/01/2025
JV.2025.01.00358,16-Jan-2025,16-Jan-2025,MKG,Penjualan cafe,"938,117.00",Penjualan cafe strada MKG tanggal 16/01/2025
JV.2025.01.00359,16-Jan-2025,17-Jan-2025,MKG,Uang masuk,"917,417.00",Uang masuk penjualan cafe strada MKG tanggal 16/01/2025
JV.2025.01.00347,16-Jan-2025,16-Jan-2025,La Piazza,Penjualan cafe,"17,444,045.00",Penjualan cafe 16/01/2025
JV.2025.01.00348,16-Jan-2025,17-Jan-2025,La Piazza,Uang masuk,"15,343,420.00",Uang masuk penjualan cafe tanggal 16/01/2025
JV.2025.01.00460,17-Jan-2025,17-Jan-2025,MKG,Penjualan cafe,"1,410,000.00",Penjualan cafe strada MKG tanggal 17/01/2025
JV.2025.01.00675,17-Jan-2025,18-Jan-2025,MKG,Uang masuk,"1,410,000.00",Uang masuk penjualan cafe strada MKG tanggal 17/01/2025
JV.2025.01.00437,17-Jan-2025,17-Jan-2025,La Piazza,Penjualan cafe,"14,905,035.00",Penjualan cafe tanggal 17/01/2025
JV.2025.01.00438,17-Jan-2025,18-Jan-2025,La Piazza,Uang masuk,"14,493,150.00",Uang masuk penjualan cafe tanggal 17/01/2025
JV.2025.01.00664,18-Jan-2025,18-Jan-2025,MKG,Penjualan cafe,"3,775,470.00",Penjualan cafe strada MKG tanggal 18/01/2025
JV.2025.01.00676,18-Jan-2025,19-Jan-2025,MKG,Uang masuk,"3,775,470.00",Uang masuk penjualan cafe strada MKG tanggal 18/01/2025
JV.2025.01.00439,18-Jan-2025,18-Jan-2025,La Piazza,Penjualan cafe,"32,002,380.00",Penjualan cafe tanggal 18/01/2025
JV.2025.01.00440,18-Jan-2025,19-Jan-2025,La Piazza,Uang masuk,"31,575,880.00",Uang masuk penjualan cafe tanggal 18/01/2025
JV.2025.01.00665,19-Jan-2025,19-Jan-2025,MKG,Penjualan cafe,"3,321,015.00",Penjualan cafe strada MKG tanggal 19/01/2025
JV.2025.01.00677,19-Jan-2025,20-Jan-2025,MKG,Uang masuk,"3,321,015.00",Uang masuk penjualan cafe strada MKG tanggal 19/01/2025
JV.2025.01.00441,19-Jan-2025,19-Jan-2025,La Piazza,Penjualan cafe,"25,928,455.00",Penjualan cafe tanggal 19/01/2025
JV.2025.01.00442,19-Jan-2025,20-Jan-2025,La Piazza,Uang masuk,"25,811,105.00",Uang masuk penjualan cafe tanggal 19/01/2025
JV.2025.01.00666,20-Jan-2025,20-Jan-2025,MKG,Penjualan cafe,"639,385.00",Penjualan cafe strada MKG tanggal 20/01/2025
JV.2025.01.00678,20-Jan-2025,21-Jan-2025,MKG,Uang masuk,"639,385.00",Uang masuk penjualan cafe strada MKG tanggal 20/01/2025
JV.2025.01.00457,20-Jan-2025,20-Jan-2025,La Piazza,Penjualan cafe,"6,258,120.00",Penjualan cafe tanggal 20/01/2025
JV.2025.01.00458,20-Jan-2025,21-Jan-2025,La Piazza,Uang masuk,"5,941,535.00",Uang masuk penjualan cafe tanggal 20/01/2025
JV.2025.01.00667,21-Jan-2025,21-Jan-2025,MKG,Penjualan cafe,"1,169,325.00",Penjualan cafe strada MKG tanggal 21/01/2025
JV.2025.01.00679,21-Jan-2025,22-Jan-2025,MKG,Uang masuk,"1,169,325.00",Uang masuk penjualan cafe strada MKG tanggal 21/01/2025
JV.2025.01.00497,21-Jan-2025,21-Jan-2025,La Piazza,Penjualan cafe,"10,001,630.00",Penjualan cafe tanggal 21/01/2025
JV.2025.01.00498,21-Jan-2025,22-Jan-2025,La Piazza,Uang masuk,"9,848,630.00",Uang masuk penjualan cafe tanggal 21/01/2025
JV.2025.01.00668,22-Jan-2025,22-Jan-2025,MKG,Penjualan cafe,"1,749,570.00",Penjualan cafe strada MKG tanggal 22/01/2025
JV.2025.01.00680,22-Jan-2025,23-Jan-2025,MKG,Uang masuk,"1,749,570.00",Uang masuk penjualan cafe strada MKG tanggal 22/01/2025
JV.2025.01.00499,22-Jan-2025,22-Jan-2025,La Piazza,Penjualan cafe,"13,641,140.00",Penjualan cafe tanggal 22/01/2025
JV.2025.01.00500,22-Jan-2025,23-Jan-2025,La Piazza,Uang masuk,"13,225,565.00",Uang masuk penjualan cafe tanggal 22/01/2025
JV.2025.01.00669,23-Jan-2025,23-Jan-2025,MKG,Penjualan cafe,"1,567,490.00",Penjualan cafe strada MKG tanggal 23/01/2025
JV.2025.01.00681,23-Jan-2025,24-Jan-2025,MKG,Uang masuk,"1,567,490.00",Uang masuk penjualan cafe strada MKG tanggal 23/01/2025
JV.2025.01.00501,23-Jan-2025,23-Jan-2025,La Piazza,Penjualan cafe,"10,370,285.00",Penjualan cafe tanggal 23/01/2025
JV.2025.01.00847,23-Jan-2025,24-Jan-2025,La Piazza,Setoran cash,"1,558,095.00",Setoran cash penjualan cafe tgl 23/01/2025
JV.2025.01.00502,23-Jan-2025,24-Jan-2025,La Piazza,Uang masuk,"8,683,865.00",Uang masuk penjualan cafe tanggal 23/01/2025
JV.2025.01.00670,24-Jan-2025,24-Jan-2025,MKG,Penjualan cafe,"1,455,300.00",Penjualan cafe strada MKG tanggal 24/01/2025
JV.2025.01.00682,24-Jan-2025,25-Jan-2025,MKG,Uang masuk,"1,455,300.00",Uang masuk penjualan cafe strada MKG tanggal 24/01/2025
JV.2025.01.00528,24-Jan-2025,24-Jan-2025,La Piazza,Penjualan cafe,"18,304,830.00",Penjualan cafe tanggal 24/01/2025
JV.2025.01.00848,24-Jan-2025,25-Jan-2025,La Piazza,Setoran cash,"337,260.00",Setoran cash penjualan cafe tanggal 24/01/2025
JV.2025.01.00532,24-Jan-2025,25-Jan-2025,La Piazza,Uang masuk,"17,353,880.00",Uang masuk penjualan cafe tanggal 24/01/2025
JV.2025.01.00671,25-Jan-2025,25-Jan-2025,MKG,Penjualan cafe,"3,297,040.00",Penjualan cafe strada MKG tanggal 25/01/2025
JV.2025.01.00683,25-Jan-2025,26-Jan-2025,MKG,Uang masuk,"3,297,040.00",Uang masuk penjualan cafe strada MKG tanggal 25/01/2025
JV.2025.01.00529,25-Jan-2025,25-Jan-2025,La Piazza,Penjualan cafe,"26,891,385.00",Penjualan cafe tanggal 25/01/2025
JV.2025.01.00533,25-Jan-2025,26-Jan-2025,La Piazza,Uang masuk,"26,683,205.00",Uang masuk penjualan cafe tanggal 25/01/2025
JV.2025.02.00323,25-Jan-2025,30-Jan-2025,La Piazza,Setoran cash,"64,680.00",Setoran cash penjualan cafe tgl 25/01/2025
JV.2025.01.00672,26-Jan-2025,26-Jan-2025,MKG,Penjualan cafe,"3,393,291.00",Penjualan cafe strada MKG tanggal 26/01/2025
JV.2025.01.00684,26-Jan-2025,27-Jan-2025,MKG,Uang masuk,"3,386,841.00",Uang masuk penjualan cafe strada MKG tanggal 26/01/2025
JV.2025.12.01441,26-Jan-2025,27-Dec-2025,MKG,Uang masuk,"1,690,025.00",Uang masuk penjualan cafe strada MKG tanggal 26/01/2025
JV.2025.01.00530,26-Jan-2025,26-Jan-2025,La Piazza,Penjualan cafe,"32,829,705.00",Penjualan cafe tanggal 26/01/2025
JV.2025.01.00534,26-Jan-2025,27-Jan-2025,La Piazza,Uang masuk,"32,391,035.00",Uang masuk penjualan cafe tanggal 26/01/2025
JV.2025.01.00849,26-Jan-2025,30-Jan-2025,La Piazza,Setoran cash,"247,170.00",Setoran cash penjualan cafe tgl 26/01/2025
JV.2025.01.00673,27-Jan-2025,27-Jan-2025,MKG,Penjualan cafe,"2,577,000.00",Penjualan cafe strada MKG tanggal 27/01/2025
JV.2025.01.00685,27-Jan-2025,28-Jan-2025,MKG,Uang masuk,"2,577,000.00",Uang masuk penjualan cafe strada MKG tanggal 27/01/2025
JV.2025.01.00531,27-Jan-2025,27-Jan-2025,La Piazza,Penjualan cafe,"24,602,158.00",Penjualan cafe tanggal 27/01/2025
JV.2025.01.00688,27-Jan-2025,28-Jan-2025,La Piazza,Uang masuk,"24,206,108.00",Uang masuk penjualan cafe tanggal 27/01/2025
JV.2025.01.00850,27-Jan-2025,30-Jan-2025,La Piazza,Setoran cash,"203,950.00",Setoran cash penjualan cafe tgl 27/01/2025
JV.2025.01.00806,28-Jan-2025,29-Jan-2025,MKG,Uang masuk,"1,781,010.00",Uang masuk penjualan cafe strada MKG tanggal 28/01/2025
JV.2025.01.00689,28-Jan-2025,28-Jan-2025,La Piazza,Penjualan cafe,"15,646,005.00",Penjualan cafe tanggal 28/01/2025
JV.2025.01.00691,28-Jan-2025,29-Jan-2025,La Piazza,Uang masuk,"15,072,075.00",Uang masuk penjualan cafe tanggal 28/01/2025
JV.2025.01.00851,28-Jan-2025,30-Jan-2025,La Piazza,Setoran cash,"214,830.00",Setoran cash penjualan cafe tgl 28/01/2025
JV.2025.01.00674,29-Jan-2025,29-Jan-2025,MKG,Penjualan cafe,"1,473,780.00",Penjualan cafe strada MKG tanggal 29/01/2025
JV.2025.01.00807,29-Jan-2025,30-Jan-2025,MKG,Uang masuk,"1,794,870.00",Uang masuk penjualan cafe strada MKG tanggal 28 & 29/01/2025
JV.2025.01.00692,29-Jan-2025,29-Jan-2025,La Piazza,Penjualan cafe,"11,099,750.00",Penjualan cafe tanggal 29/01/2025
JV.2025.01.00693,29-Jan-2025,30-Jan-2025,La Piazza,Uang masuk,"10,744,310.00",Uang masuk penjualan cafe tanggal 29/01/2025
JV.2025.01.00883,30-Jan-2025,31-Jan-2025,MKG,Uang masuk,"740,472.00",Uang masuk penjualan cafe strada MKG tanggal 30/01/2025
JV.2025.01.00694,30-Jan-2025,30-Jan-2025,La Piazza,Penjualan cafe,"14,166,100.00",Penjualan cafe tanggal 30/01/2025
JV.2025.01.00785,30-Jan-2025,30-Jan-2025,La Piazza,Uang masuk,"13,823,590.00",Uang masuk penjualan cafe tanggal 30/01/2025
JV.2025.02.00319,30-Jan-2025,1-Feb-2025,La Piazza,Setoran cash,"256,410.00",Setoran cash penjualan cafe tanggal 30/01/2025
JV.2025.02.00325,31-Jan-2025,1-Feb-2025,MKG,Uang masuk,"399,630.00",Uang masuk penjualan cafe strada MKG tanggal 31/01/2025
JV.2025.01.00781,31-Jan-2025,31-Jan-2025,La Piazza,Penjualan cafe,"19,238,155.00",Penjualan cafe tanggal 31/01/2025
JV.2025.01.00787,31-Jan-2025,1-Feb-2025,La Piazza,Uang masuk,"18,715,850.00",Uang masuk penjualan cafe tanggal 31/01/2025
JV.2025.02.00322,31-Jan-2025,4-Feb-2025,La Piazza,Setoran cash,"128,205.00",Setoran cash penjualan cafe tanggal 31/01/2025
JV.2025.02.00326,1-Feb-2025,2-Feb-2025,MKG,Uang masuk,"2,841,513.00",Uang masuk penjualan cafe strada MKG tanggal 01/02/2025
JV.2025.02.00029,1-Feb-2025,1-Feb-2025,La Piazza,Penjualan cafe,"29,290,510.00",Penjualan cafe tanggal 01/02/2025
JV.2025.02.00320,1-Feb-2025,2-Feb-2025,La Piazza,Setoran cash,"344,190.00",Setoran cash penjualan cafe tanggal 01/02/2025
JV.2025.02.00034,1-Feb-2025,2-Feb-2025,La Piazza,Uang masuk,"28,770,320.00",Uang masuk penjualan cafe tanggal 01/02/2025
JV.2025.02.00612,1-Feb-2025,17-Feb-2025,La Piazza,Uang masuk,"18,965.00",Uang masuk setoran cash penjualan cafe tgl 01/02/2025
JV.2025.02.00327,2-Feb-2025,3-Feb-2025,MKG,Uang masuk,"3,193,633.00",Uang masuk penjualan cafe strada MKG tanggal 02/02/2025
JV.2025.02.00030,2-Feb-2025,2-Feb-2025,La Piazza,Penjualan cafe,"29,729,740.00",Penjualan cafe tanggal 02/02/2025
JV.2025.02.00321,2-Feb-2025,3-Feb-2025,La Piazza,Setoran cash,"427,350.00",Setoran cash penjualan cafe tanggal 02/02/2025
JV.2025.02.00035,2-Feb-2025,3-Feb-2025,La Piazza,Uang masuk,"29,063,890.00",Uang masuk penjualan cafe tanggal 02/02/2025
JV.2025.02.00328,3-Feb-2025,4-Feb-2025,MKG,Uang masuk,"446,119.00",Uang masuk penjualan cafe strada MKG tgl 03/02/2025
JV.2025.12.01480,3-Feb-2025,4-Dec-2025,SMS,Uang masuk,"823,835.00",Uang masuk penjualan cafe strada SMS tanggal 03/02/2025
JV.2025.02.00032,3-Feb-2025,3-Feb-2025,La Piazza,Penjualan cafe,"12,095,590.00",Penjualan cafe tanggal 03/02/2025
JV.2025.02.00037,3-Feb-2025,4-Feb-2025,La Piazza,Uang masuk,"11,372,880.00",Uang masuk penjualan cafe tanggal 03/02/2025
JV.2025.02.00311,3-Feb-2025,8-Feb-2025,La Piazza,Setoran cash,"198,660.00",Setoran cash penjualan cafe tanggal 03/02/2025
JV.2025.02.00335,4-Feb-2025,5-Feb-2025,MKG,Uang masuk,"620,582.00",Uang masuk penjualan cafe strada MKG tgl 04/02/2025
JV.2025.02.00112,4-Feb-2025,4-Feb-2025,La Piazza,Penjualan cafe,"11,324,960.00",Penjualan cafe strada tanggal 04/02/2025
JV.2025.02.00116,4-Feb-2025,5-Feb-2025,La Piazza,Uang masuk,"10,961,910.00",Uang masuk penjualan cafe tanggal 04/02/2025
JV.2025.02.00329,5-Feb-2025,6-Feb-2025,MKG,Uang masuk,"1,310,930.00",Uang masuk penjualan cafe strada MKG tgl 05/02/2025
JV.2025.02.00113,5-Feb-2025,5-Feb-2025,La Piazza,Penjualan cafe,"14,731,015.00",Penjualan cafe tanggal 05/02/2025
JV.2025.02.00117,5-Feb-2025,6-Feb-2025,La Piazza,Uang masuk,"14,154,340.00",Uang masuk penjualan cafe tanggal 05/02/2025
JV.2025.02.00330,6-Feb-2025,7-Feb-2025,MKG,Uang masuk,"751,443.00",Uang masuk penjualan cafe strada MKG tgl 06/02/2025
JV.2025.02.00114,6-Feb-2025,6-Feb-2025,La Piazza,Penjualan cafe,"10,303,155.00",Penjualan cafe tanggal 06/02/2025
JV.2025.02.00118,6-Feb-2025,7-Feb-2025,La Piazza,Uang masuk,"9,533,965.00",Uang masuk penjualan cafe tanggal 06/02/2025
JV.2025.02.00331,7-Feb-2025,8-Feb-2025,MKG,Uang masuk,"1,332,130.00",Uang masuk penjualan cafe strada MKG tgl 07/02/2025
JV.2025.02.00304,7-Feb-2025,7-Feb-2025,La Piazza,Penjualan cafe,"18,146,265.00",Penjualan cafe tanggal 07/02/2025
JV.2025.02.00893,7-Feb-2025,8-Feb-2025,La Piazza,Uang masuk,"17,738,300.00",Uang masuk penjualan cafe tanggal 07/02/2025
JV.2025.02.00332,8-Feb-2025,9-Feb-2025,MKG,Uang masuk,"2,263,641.00",Uang masuk penjualan cafe strada MKG tgl 08/02/2025
JV.2025.02.00305,8-Feb-2025,8-Feb-2025,La Piazza,Penjualan cafe,"27,246,915.00",Penjualan cafe tanggal 08/02/2025
JV.2025.02.00312,8-Feb-2025,9-Feb-2025,La Piazza,Uang masuk,"26,448,310.00",Uang masuk penjualan cafe tanggal 08/02/2025
JV.2025.02.00314,8-Feb-2025,10-Feb-2025,La Piazza,Setoran cash,"139,755.00",Setoran cash penjualan cafe tanggal 08/02/2025
JV.2025.02.00333,9-Feb-2025,10-Feb-2025,MKG,Uang masuk,"2,692,050.00",Uang masuk penjualan cafe strada MKG tgl 09/02/2025
JV.2025.02.00306,9-Feb-2025,9-Feb-2025,La Piazza,Penjualan cafe,"28,965,470.00",Penjualan cafe tanggal 09/02/2025
JV.2025.02.00315,9-Feb-2025,10-Feb-2025,La Piazza,Setoran cash,"1,048,740.00",Setoran cash penjualan cafe tanggal 09/02/2025
JV.2025.02.00313,9-Feb-2025,10-Feb-2025,La Piazza,Uang masuk,"27,578,465.00",Uang masuk penjualan cafe tanggal 09/02/2025
JV.2025.02.00334,10-Feb-2025,11-Feb-2025,MKG,Uang masuk,"1,240,470.00",Uang masuk penjualan cafe strada MKG tgl 10/02/2025
JV.2025.02.00307,10-Feb-2025,10-Feb-2025,La Piazza,Penjualan cafe,"9,298,950.00",Penjualan cafe tanggal 10/02/2025
JV.2025.02.00316,10-Feb-2025,11-Feb-2025,La Piazza,Uang masuk,"9,123,450.00",Uang masuk penjualan cafe tanggal 10/02/2025
JV.2025.02.00336,11-Feb-2025,12-Feb-2025,MKG,Uang masuk,"1,080,806.00",Uang masuk penjualan cafe strada MKG tgl 11/02/2025
JV.2025.02.00308,11-Feb-2025,11-Feb-2025,La Piazza,Penjualan cafe,"11,534,240.00",Penjualan cafe tanggal 11/02/2025
JV.2025.02.00317,11-Feb-2025,12-Feb-2025,La Piazza,Uang masuk,"10,644,805.00",Uang masuk penjualan cafe tanggal 11/02/2025
JV.2025.02.00398,12-Feb-2025,12-Feb-2025,MKG,Penjualan cafe,"1,027,114.00",Penjualan cafe strada MKG tanggal 12/02/2025
JV.2025.02.00616,12-Feb-2025,13-Feb-2025,MKG,Uang masuk,"1,021,714.00",Uang masuk penjualan cafe strada MKG taggal 12/02/2025
JV.2025.02.00309,12-Feb-2025,12-Feb-2025,La Piazza,Penjualan cafe,"15,303,835.00",Penjualan cafe tanggal 12/02/2025
JV.2025.02.00318,12-Feb-2025,13-Feb-2025,La Piazza,Uang masuk,"14,999,010.00",Uang masuk penjualan cafe tanggal 12/02/2025
JV.2025.02.00399,13-Feb-2025,13-Feb-2025,MKG,Penjualan cafe,"1,045,858.00",Penjualan cafe strada MKG tanggal 13/02/2025
JV.2025.02.00617,13-Feb-2025,14-Feb-2025,MKG,Uang masuk,"1,027,258.00",Uang masuk penjualan cafe strada MKG tanggal 13/02/2025
JV.2025.02.00310,13-Feb-2025,13-Feb-2025,La Piazza,Penjualan cafe,"17,411,595.00",Penjualan cafe tanggal 13/02/2025
JV.2025.02.00605,13-Feb-2025,14-Feb-2025,La Piazza,Uang masuk,"12,631,865.00",Uang masuk penjualan cafe tanggal 13/02/2025
JV.2025.02.00400,14-Feb-2025,14-Feb-2025,MKG,Penjualan cafe,"1,111,324.00",Penjualan cafe strada MKG tanggal 
JV.2025.02.00618,14-Feb-2025,15-Feb-2025,MKG,Uang masuk,"1,093,474.00",Uang masuk penjualan cafe strada MKG tanggal 14/02/2025
JV.2025.02.00394,14-Feb-2025,14-Feb-2025,La Piazza,Penjualan cafe,"21,630,245.00",Penjualan cafe tanggal 14/02/2025
JV.2025.02.00606,14-Feb-2025,15-Feb-2025,La Piazza,Uang masuk,"20,964,600.00",Uang masuk penjualan cafe tanggal 14/02/2025
JV.2025.02.00401,15-Feb-2025,15-Feb-2025,MKG,Penjualan cafe,"2,292,459.00",Penjualan cafe strada MKG tanggal 15/02/2025
JV.2025.02.00619,15-Feb-2025,16-Feb-2025,MKG,Uang masuk,"2,283,609.00",Uang masuk penjualan cafe strada MKG tanggal 15/02/2025
JV.2025.02.00395,15-Feb-2025,15-Feb-2025,La Piazza,Penjualan cafe,"35,416,340.00",Penjualan cafe tanggal 15/02/2025
