Loading missing reports data...
Mengambil data dari database Supabase...
[297/2802] Fetching Quinos: MKG @ 2025-02-19...
[302/2802] Fetching Quinos: LA.PIAZZA @ 2025-02-20...
[303/2802] Fetching Quinos: MKG @ 2025-02-20...
[308/2802] Fetching Quinos: LA.PIAZZA @ 2025-02-21...
[309/2802] Fetching Quinos: MKG @ 2025-02-21...
[314/2802] Fetching Quinos: LA.PIAZZA @ 2025-02-22...
[315/2802] Fetching Quinos: MKG @ 2025-02-22...
[320/2802] Fetching Quinos: LA.PIAZZA @ 2025-02-23...
[321/2802] Fetching Quinos: MKG @ 2025-02-23...
[326/2802] Fetching Quinos: LA.PIAZZA @ 2025-02-24...
[327/2802] Fetching Quinos: MKG @ 2025-02-24...
[332/2802] Fetching Quinos: LA.PIAZZA @ 2025-02-25...
[333/2802] Fetching Quinos: MKG @ 2025-02-25...
[338/2802] Fetching Quinos: LA.PIAZZA @ 2025-02-26...
[339/2802] Fetching Quinos: MKG @ 2025-02-26...
[344/2802] Fetching Quinos: LA.PIAZZA @ 2025-02-27...
[345/2802] Fetching Quinos: MKG @ 2025-02-27...
[350/2802] Fetching Quinos: LA.PIAZZA @ 2025-02-28...
[351/2802] Fetching Quinos: MKG @ 2025-02-28...
[356/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-01...
[357/2802] Fetching Quinos: MKG @ 2025-03-01...
[362/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-02...
[363/2802] Fetching Quinos: MKG @ 2025-03-02...
[368/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-03...
[369/2802] Fetching Quinos: MKG @ 2025-03-03...
[374/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-04...
[375/2802] Fetching Quinos: MKG @ 2025-03-04...
[380/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-05...
[381/2802] Fetching Quinos: MKG @ 2025-03-05...
[386/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-06...
[387/2802] Fetching Quinos: MKG @ 2025-03-06...
[392/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-07...
[393/2802] Fetching Quinos: MKG @ 2025-03-07...
[398/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-08...
[399/2802] Fetching Quinos: MKG @ 2025-03-08...
[404/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-09...
[405/2802] Fetching Quinos: MKG @ 2025-03-09...
[410/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-10...
[411/2802] Fetching Quinos: MKG @ 2025-03-10...
[416/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-11...
[417/2802] Fetching Quinos: MKG @ 2025-03-11...
[422/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-12...
[423/2802] Fetching Quinos: MKG @ 2025-03-12...
[428/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-13...
[429/2802] Fetching Quinos: MKG @ 2025-03-13...
[434/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-14...
[435/2802] Fetching Quinos: MKG @ 2025-03-14...
[440/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-15...
[441/2802] Fetching Quinos: MKG @ 2025-03-15...
[446/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-16...
[447/2802] Fetching Quinos: MKG @ 2025-03-16...
[452/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-17...
[453/2802] Fetching Quinos: MKG @ 2025-03-17...
[458/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-18...
[459/2802] Fetching Quinos: MKG @ 2025-03-18...
[464/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-19...
[465/2802] Fetching Quinos: MKG @ 2025-03-19...
[470/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-20...
[471/2802] Fetching Quinos: MKG @ 2025-03-20...
[476/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-21...
[477/2802] Fetching Quinos: MKG @ 2025-03-21...
[482/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-22...
[483/2802] Fetching Quinos: MKG @ 2025-03-22...
[488/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-23...
[489/2802] Fetching Quinos: MKG @ 2025-03-23...
[494/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-24...
[495/2802] Fetching Quinos: MKG @ 2025-03-24...
[500/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-25...
[501/2802] Fetching Quinos: MKG @ 2025-03-25...
[506/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-26...
[507/2802] Fetching Quinos: MKG @ 2025-03-26...
[512/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-27...
[513/2802] Fetching Quinos: MKG @ 2025-03-27...
[518/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-28...
[519/2802] Fetching Quinos: MKG @ 2025-03-28...
[524/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-29...
[525/2802] Fetching Quinos: MKG @ 2025-03-29...
[530/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-30...
[531/2802] Fetching Quinos: MKG @ 2025-03-30...
[536/2802] Fetching Quinos: LA.PIAZZA @ 2025-03-31...
[537/2802] Fetching Quinos: MKG @ 2025-03-31...
[542/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-01...
[543/2802] Fetching Quinos: MKG @ 2025-04-01...
[548/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-02...
[549/2802] Fetching Quinos: MKG @ 2025-04-02...
[554/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-03...
[555/2802] Fetching Quinos: MKG @ 2025-04-03...
[560/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-04...
[561/2802] Fetching Quinos: MKG @ 2025-04-04...
[566/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-05...
[567/2802] Fetching Quinos: MKG @ 2025-04-05...
[572/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-06...
[573/2802] Fetching Quinos: MKG @ 2025-04-06...
[578/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-07...
[579/2802] Fetching Quinos: MKG @ 2025-04-07...
[584/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-08...
[585/2802] Fetching Quinos: MKG @ 2025-04-08...
[590/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-09...
[591/2802] Fetching Quinos: MKG @ 2025-04-09...
[596/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-10...
[597/2802] Fetching Quinos: MKG @ 2025-04-10...
[602/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-11...
[603/2802] Fetching Quinos: MKG @ 2025-04-11...
[608/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-12...
[609/2802] Fetching Quinos: MKG @ 2025-04-12...
[614/2802] Fetching Quinos: LA.PIAZZA @ 2025-04-13...
[615/2802] Fetching Quinos: MKG @ 2025-04-13...
