Tanggal,Toko,Penjualan Ada,Uang Masuk Ada,Total Quinos Gross (Dari Accurate),Total Mutasi Bank (Dari Accurate),Biaya Admin Bank,Biaya Merchant
2025-02-10,MKG,N,Y,0,1230855.97,9614.03,0
2025-02-11,LA.PIAZZA,Y,Y,11111305,10537745.01,93059.99,14000
2025-02-11,MKG,N,Y,0,1073795.27,7010.73,0
2025-02-12,LA.PIAZZA,Y,Y,15039435,14832654.96,140395.04,25960
2025-02-12,MKG,Y,Y,1021714,1013106.74,8607.26,0
2025-02-13,LA.PIAZZA,Y,Y,12806865,12493443.92,123421.08,15000
2025-02-13,MKG,Y,Y,1027258,1018974.1,8283.9,0
2025-02-14,LA.PIAZZA,Y,Y,21567175,20639956.46,217943.54,106700
2025-02-14,MKG,Y,Y,1093474,1085353.3,8120.7,0
2025-02-15,LA.PIAZZA,Y,Y,35044675,33927067.41,310002.59,81260
2025-02-15,MKG,Y,Y,2283609,2268141.57,15467.43,0
2025-02-16,LA.PIAZZA,Y,Y,23503140,22711198.75,282791.25,0
2025-02-16,MKG,Y,Y,2191461,2174487.29,16973.71,0
2025-02-17,LA.PIAZZA,Y,Y,12026910,11802714.15,131855.85,92340
2025-02-17,MKG,Y,Y,1173915,1161102.48,8162.52,0
2025-02-18,LA.PIAZZA,Y,Y,12128795,11808928.67,134586.33,53940
2025-02-18,MKG,Y,Y,702240,697723.2,4516.8,0
2025-02-19,LA.PIAZZA,Y,Y,16976070,16789584.49,152025.51,34460
2025-02-19,MKG,Y,Y,868560,861427.1,7132.9,0
2025-02-20,LA.PIAZZA,Y,Y,15583440,15260905.38,167427.62,64682
2025-02-20,MKG,Y,Y,1230588,1209767.51,10770.49,0
2025-02-21,LA.PIAZZA,Y,Y,17165420,16607887.32,165872.68,91660
2025-02-21,MKG,Y,Y,860475,854503.66,5971.34,0
2025-02-22,LA.PIAZZA,Y,Y,29480290,28969168.42,253577.58,107544
2025-02-22,MKG,Y,Y,1604205,1594575.91,9629.09,0
2025-02-23,LA.PIAZZA,Y,Y,21512265,20956749.19,219395.81,36120
2025-02-23,MKG,Y,Y,1205820,1195179.2,10640.8,0
2025-02-24,LA.PIAZZA,Y,Y,7656775,7130185.62,66364.38,32690
2025-02-24,MKG,Y,Y,337260,335166,2094,0
