Tanggal,Toko,MASUK CASH,KREDIT BCA,DEBIT BCA,QRIS BCA,MASUK GO-BIZ,MASUK OVO
03/12/2025,SMS,,"508,223.00 ",,"303,103.32 ",,
04/12/2025,SMS,,"231,280.00 ","404,452.41 ","129,601.41 ",,
05/12/2025,SMS,,,"40,020.75 ","396,832.59 ",,
06/12/2025,SMS,,"124,510.00 ","47,283.97 ","1,061,874.48 ",,
07/12/2025,SMS,,,"94,567.94 ","1,027,635.84 ",,
08/12/2025,SMS,,"600,983.46 ",,,,"41,280.00 "
09/12/2025,SMS,,,"219,969.75 ","379,628.87 ",,
10/12/2025,SMS,,,"47,283.97 ","451,010.68 ",,
11/12/2025,SMS,,"78,101.00 ","47,283.97 ","614,806.02 ",,
12/12/2025,SMS,,,"146,464.98 ","700,765.07 ",,
13/12/2025,SMS,,"233,173.00 ","36,904.56 ","963,239.80 ",,
14/12/2025,SMS,,"44,144.00 ","57,663.38 ","1,949,263.97 ",,
15/12/2025,SMS,,"56,595.00 ","40,020.75 ","488,585.79 ",,
16/12/2025,SMS,,"83,761.00 ",,"82,577.88 ",,
17/12/2025,SMS,,,"42,307.65 ","627,953.35 ",,
18/12/2025,SMS,,"39,819.00 ",,"781,049.12 ",,
19/12/2025,SMS,,"247,680.00 ","187,468.38 ","815,248.05 ",,
20/12/2025,SMS,,,,,"32,600.00 ",
21/12/2025,SMS,,"114,726.00 ","128,012.70 ","2,175,360.15 ",,
22/12/2025,SMS,,,"130,319.23 ","677,826.77 ",,
23/12/2025,SMS,,,"217,201.80 ","350,956.00 ",,
24/12/2025,SMS,,"36,221.00 ",,"673,904.42 ",,
25/12/2025,SMS,,"105,804.00 ","121,588.59 ","1,663,026.76 ",,
26/12/2025,SMS,,"39,617.00 ","44,977.44 ","868,214.66 ",,
27/12/2025,SMS,,"168,654.00 ",,"1,181,322.46 ",,
28/12/2025,SMS,,"255,810.00 ","40,020.75 ","1,296,599.83 ",,
29/12/2025,SMS,,"90,306.00 ",,"790,224.44 ",,"100,000.00 "
30/12/2025,SMS,,"78,101.00 ","40,364.37 ","711,087.31 ",,
31/12/2025,SMS,"723,600.00 ",,,"670,945.28 ",,
01/01/2026,SMS,,"39,617.00 ","315,533.07 ","1,146,041.16 ","63,320.00 ",
02/01/2026,SMS,,"123,377.00 ",,"723,534.56 ",,
03/01/2026,SMS,,,,"1,032,059.66 ",,
04/01/2026,SMS,,"275,457.00 ","108,900.00 ","1,204,260.76 ",,
05/01/2026,SMS,,,,"169,743.43 ",,
06/01/2026,SMS,,"88,200.00 ",,"350,955.99 ",,
07/01/2026,SMS,,"78,101.00 ","82,672.02 ","506,936.44 ",,
08/01/2026,SMS,,"167,522.00 ",,"181,530.33 ",,
09/01/2026,SMS,,,,"473,948.97 ","144,760.00 ",
10/01/2026,SMS,,"210,533.00 ","319,699.73 ","1,165,265.64 ",,
11/01/2026,SMS,,"199,394.00 ","36,904.56 ","1,203,072.14 ",,
12/01/2026,SMS,,,,"481,535.49 ",,
13/01/2026,SMS,,,"85,341.80 ","488,749.65 ",,"100,000.00 "
14/01/2026,SMS,,,,"233,067.04 ",,
15/01/2026,SMS,,"88,200.00 ","89,954.87 ","225,942.26 ",,
16/01/2026,SMS,,"378,221.00 ","124,979.67 ","1,277,663.31 ",,
17/01/2026,SMS,,"222,122.00 ","40,020.75 ","862,480.09 ",,
18/01/2026,SMS,,"298,822.00 ","40,364.37 ","1,153,508.52 ",,
19/01/2026,SMS,,"58,859.00 ",,"129,601.40 ",,
20/01/2026,SMS,,,,"127,307.57 ",,
21/01/2026,SMS,,"304,634.00 ","58,816.65 ","447,569.94 ",,
22/01/2026,SMS,,,"36,904.56 ","122,719.91 ",,
23/01/2026,SMS,,,"175,126.92 ","368,159.72 ",,
24/01/2026,SMS,,"39,617.00 ","40,020.75 ","971,437.01 ","65,240.00 ",
25/01/2026,SMS,,"273,061.00 ","40,364.37 ","1,875,131.56 ",,
26/01/2026,SMS,,"158,467.00 ","375,041.22 ",,,
27/01/2026,SMS,,"56,595.00 ","40,364.37 ","176,624.92 ",,
28/01/2026,SMS,,,"40,364.37 ","367,012.80 ",,
29/01/2026,SMS,,"98,000.00 ","211,322.54 ","638,831.67 ",,
30/01/2026,SMS,,,"77,268.93 ","545,449.94 ",,
31/01/2026,SMS,,,,"1,557,103.44 ",,"110,400.00 "
01/02/2026,SMS,,"114,322.00 ","144,948.47 ","1,733,728.36 ",,
02/02/2026,SMS,,"130,080.00 ","21,912.09 ","174,331.08 ",,
03/02/2026,SMS,,,,"232,823.76 ",,
04/02/2026,SMS,,,"78,898.05 ","385,606.74 ",,
05/02/2026,SMS,,"134,696.00 ","57,663.38 ","354,396.74 ",,
06/02/2026,SMS,,"41,880.00 ","57,663.38 ","275,259.61 ",,
07/02/2026,SMS,,,,"1,598,109.38 ",,
08/02/2026,SMS,,"112,059.00 ","167,223.79 ","1,748,732.59 ",,
09/02/2026,SMS,,"98,689.00 ",,"530,192.49 ",,
10/02/2026,SMS,,,"40,364.37 ","155,980.44 ",,
11/02/2026,SMS,,,,"82,577.88 ",,
12/02/2026,SMS,,,,"399,126.43 ",,"175,800.00 "
13/02/2026,SMS,,"36,221.00 ",,"451,884.51 ",,"139,360.00 "
14/02/2026,SMS,,"92,816.00 ","208,785.31 ","1,131,737.00 ",,"35,520.00 "
15/02/2026,SMS,,"117,717.00 ","47,283.97 ","1,625,451.64 ",,
