PENJUALAN,,,,,UANG MASUK,,,,
Kata Kata Quinos,Kode Accurate,Outlet,Kredit/Debit,,Kata Kata Quinos,Kode Accurate,Outlet,Kredit/Debit,
Sales per Department - Konsiyasi No Brand,4000.01.05,7.SMB Gold Lounge,Kredit,,Payment Method - QRIS,1000.02.02.02,2.LPZ,Kredit,
Sales per Department - Konsiyasi No Brand,4000.01.05,3.SMS,Kredit,,Payment Method - QRIS,1000.02.05.02,5.MKG,Kredit,
Sales per Department - Modifier,4000.01.02,4.BSD,Kredit,,Payment Method - QRIS,1000.02.06.02,6.SMB,Kredit,
Sales per Department - Modifier,4000.01.02,2.LPZ,Kredit,,Payment Method - QRIS,1000.02.07.02,7.SMB Gold Lounge,Kredit,
Sales per Department - Modifier,4000.01.02,5.MKG,Kredit,,Payment Method - QRIS,1000.02.03.02,3.SMS,Kredit,
Sales per Department - Modifier,4000.01.02,8.SCBD,Kredit,,Payment Method - QRIS,1000.02.08.02,8.SCBD,Kredit,
Sales per Department - Modifier,4000.01.02,6.SMB,Kredit,,(Uang masuk menurut Settlement BCA),1000.02.04.01,4.BSD,Debit,
Sales per Department - Modifier,4000.01.02,7.SMB Gold Lounge,Kredit,,(Uang masuk menurut Settlement BCA),1000.02.02.01,2.LPZ,Debit,
Sales per Department - Modifier,4000.01.02,3.SMS,Kredit,,(Uang masuk menurut Settlement BCA),1000.02.05.01,5.MKG,Debit,
Payment Method - Academy 100 Vouc,4000.96.02,ALL,Debit,,(Uang masuk menurut Settlement BCA),1000.02.07.01,6.SMB,Debit,
Payment Method - Academy 50 Vouch,4000.96.03,ALL,Debit,,(Uang masuk menurut Settlement BCA),1000.02.07.01,7.SMB Gold Lounge,Debit,
Payment Method - Go Dine In Vou, 4000.96.15,ALL,Debit,,(Uang masuk menurut Settlement BCA),1000.02.03.01,3.SMS,Debit,
Payment Method - CL UPPERWEST,1100.12,4.BSD,Debit,,(Uang masuk menurut Settlement BCA),1000.02.08.01,8.SCBD,Debit,
Payment Method - STRADA + REWARD,4000.96.04,ALL,Debit,,Admin merchant,6000.01.36,ALL,Debit,
Payment Method - Strada+ Gift Vou,4000.96.05,ALL,Debit,,Admin bank,6000.01.08,ALL,Debit,
Payment Method - TRANSFER,1000.02.04.01,4.BSD,Debit,,Biaya Pembulatan,7200.02,ALL,Debit,
Payment Method - TRANSFER,1000.02.02.01,2.LPZ,Debit,,Pendapatan Lain-lain,4000.90,ALL,Debit jika kurang bayar,Kredit jika lebih bayar
Payment Method - TRANSFER,1000.02.05.01,5.MKG,Debit,,,,,,
Payment Method - TRANSFER,1000.02.07.01,6.SMB,Debit,,,,,,
Payment Method - TRANSFER,1000.02.07.01,7.SMB Gold Lounge,Debit,,,,,,
Payment Method - TRANSFER,1000.02.03.01,3.SMS,Debit,,,,,,
Payment Method - TRANSFER,1000.02.08.01,8.SCBD,Debit,,,,,,
Payment Method - Voucher CKT 50.0,4000.96.09,ALL,Debit,,,,,,
Payment Method - Voucher Florist,4000.96.14,ALL,Debit,,,,,,
Payment Method - Voucher Harris P,2002.01.01,ALL,Debit,,,,,,
Payment Method - Voucher JustYoga,4000.96.10,ALL,Debit,,,,,,
Payment Method - Voucher Padel Sp,4000.96.16,ALL,Debit,,,,,,
Payment Method - Voucher SMKG,2002.01.02,5.MKG,Debit,,,,,,
Payment Method - Voucher Timezone,4000.96.11,ALL,Debit,,,,,,
Payment Method - Voucher Workshop,4000.96.12,ALL,Debit,,,,,,
Payment Method - Voucher 50 SMB,2002.01.03,ALL,Debit,,,,,,
Payment Method - BSD Workshop Vou,4000.96.06,4.BSD,Debit,,,,,,
Payment Method - Voucher Bogo,4000.96.07,ALL,Debit,,,,,,
Payment Method - Voucher Chope,4000.96.08,ALL,Debit,,,,,,
Payment Method - Voucher Telkomsel,4000.96.17,ALL,Debit,,,,,,
